domain,state,area_type,digital_access,github_repos,commits,hackathons,projects,learning_hours,offline_work,experience_years,courses_completed,freelance_projects
Social & Community Work,Telangana,Rural,Low,0,0,0,11,3,17,2,4,7
Technology,Madhya Pradesh,Rural,Low,13,178,1,3,23,1,2,3,1
Social & Community Work,Rajasthan,Semi-Urban,Medium,0,0,0,8,5,16,4,2,2
Social & Community Work,Delhi,Semi-Urban,Low,0,0,0,10,10,15,3,3,2
Data Science,Rajasthan,Urban,Medium,4,89,3,10,17,0,0,2,1
Creative Arts,Punjab,Semi-Urban,Medium,0,0,0,10,18,1,1,1,6
Data Science,Delhi,Urban,Medium,3,103,0,7,17,0,4,3,4
Technology,Uttar Pradesh,Urban,High,7,117,0,5,11,2,3,5,2
Social & Community Work,Madhya Pradesh,Urban,Medium,0,0,0,12,10,13,3,3,2
Social & Community Work,West Bengal,Rural,Medium,0,0,0,12,10,11,7,2,1
Data Science,Punjab,Rural,Low,4,110,3,8,25,0,0,2,3
Skilled Trades,Delhi,Rural,Medium,0,0,0,17,3,15,4,4,3
Technology,Tamil Nadu,Rural,Low,5,156,1,5,14,0,2,2,0
Business,Maharashtra,Rural,Medium,0,0,0,7,10,1,2,4,1
Skilled Trades,West Bengal,Urban,Medium,0,0,0,11,2,14,4,2,3
Social & Community Work,Madhya Pradesh,Rural,Medium,0,0,0,10,11,24,1,7,3
Business,Gujarat,Rural,High,0,0,1,8,5,2,2,1,1
Technology,Maharashtra,Semi-Urban,Medium,7,153,1,5,9,3,6,7,1
Creative Arts,Rajasthan,Urban,High,3,0,0,12,13,5,0,3,4
Social & Community Work,Punjab,Semi-Urban,Low,0,0,0,15,10,19,2,7,4
Skilled Trades,Uttar Pradesh,Urban,High,0,0,0,15,0,23,2,0,3
Creative Arts,Other,Urban,High,0,0,0,7,12,2,5,2,2
Social & Community Work,Punjab,Urban,Medium,0,0,0,12,15,12,1,3,4
Creative Arts,Kerala,Rural,Low,0,0,0,5,16,7,3,6,1
Technology,Tamil Nadu,Semi-Urban,Medium,7,138,5,5,19,1,0,1,2
Skilled Trades,Maharashtra,Urban,High,0,0,0,13,9,10,0,2,3
Skilled Trades,Telangana,Urban,Medium,0,0,0,14,4,29,0,2,1
Social & Community Work,Karnataka,Rural,Medium,0,0,0,10,7,13,0,1,4
Technology,Delhi,Semi-Urban,Low,11,159,3,3,12,1,3,1,2
Data Science,Delhi,Urban,High,8,98,3,9,25,0,5,6,1
Business,Telangana,Urban,High,0,0,1,8,13,3,2,3,3
Creative Arts,Rajasthan,Rural,Low,2,0,0,11,9,7,3,5,0
Technology,Telangana,Semi-Urban,Medium,7,142,1,6,17,1,2,4,1
Skilled Trades,Punjab,Semi-Urban,Low,0,0,0,18,1,19,3,6,4
Business,Karnataka,Rural,Low,0,0,0,6,9,1,3,5,3
Creative Arts,Karnataka,Semi-Urban,Medium,2,0,0,8,9,3,1,4,1
Skilled Trades,Delhi,Urban,High,0,0,0,17,6,18,3,3,1
Technology,Delhi,Rural,Low,7,128,1,4,19,0,2,7,0
Creative Arts,Gujarat,Semi-Urban,High,0,0,0,12,6,3,2,8,2
Business,Odisha,Urban,High,0,0,1,5,13,2,4,1,3
Creative Arts,Karnataka,Rural,Medium,2,5000,0,0,0,6,4,3,1
Business,West Bengal,Urban,High,0,0,3,10,8,1,4,1,2
Social & Community Work,Delhi,Urban,High,0,0,0,8,10,12,2,1,2
Business,Rajasthan,Rural,Low,0,0,1,7,7,3,3,3,1
Business,Madhya Pradesh,Rural,Low,0,0,1,9,6,0,3,8,2
Technology,Telangana,Urban,High,6,148,0,2,19,0,1,2,3
Skilled Trades,Uttar Pradesh,Semi-Urban,Low,0,0,0,17,9,12,2,5,3
Technology,Madhya Pradesh,Semi-Urban,Low,10,146,1,4,11,1,3,5,3
Business,Madhya Pradesh,Rural,Low,0,0,2,9,5,3,2,2,1
Technology,Maharashtra,Rural,Medium,13,133,2,6,10,0,2,2,1
Technology,Karnataka,Rural,Medium,5,159,2,6,17,2,3,2,6
Business,Gujarat,Urban,High,0,0,1,11,10,1,1,4,3
Skilled Trades,Madhya Pradesh,Semi-Urban,Medium,0,0,0,20,3,17,4,4,2
Technology,Punjab,Rural,Low,6,155,3,4,12,1,0,3,1
Creative Arts,Bihar,Semi-Urban,Medium,0,0,0,15,12,6,2,3,2
Data Science,Madhya Pradesh,Rural,High,6,74,2,3,11,0,0,2,3
Business,Gujarat,Rural,Low,0,0,2,8,9,2,3,2,2
Data Science,Telangana,Semi-Urban,High,7,90,4,6,17,0,5,3,2
Data Science,Kerala,Rural,Low,3,115,3,7,18,0,4,2,8
Data Science,Uttar Pradesh,Urban,High,5,85,3,6,27,0,5,3,2
Creative Arts,Other,Rural,Low,1,0,0,17,15,9,3,1,2
Data Science,West Bengal,Semi-Urban,Medium,4,87,3,4,21,0,3,2,1
Creative Arts,Punjab,Semi-Urban,Medium,0,0,0,14,5,5,0,2,0
Skilled Trades,West Bengal,Semi-Urban,Medium,0,0,0,18,5,19,0,3,2
Technology,Delhi,Rural,Low,4,156,1,3,5,1,5,3,1
Social & Community Work,Tamil Nadu,Semi-Urban,High,0,0,0,9,3,13,3,3,1
Creative Arts,Uttar Pradesh,Rural,Low,0,0,0,10,14,6,1,2,10
Data Science,Madhya Pradesh,Rural,Medium,2,88,3,6,21,0,3,2,1
Data Science,Telangana,Rural,Low,3,104,3,8,20,0,0,0,1
Data Science,West Bengal,Urban,High,4,108,3,3,13,0,3,4,1
Data Science,Kerala,Urban,High,5,91,5,6,19,0,3,3,1
Social & Community Work,Madhya Pradesh,Semi-Urban,Medium,0,0,0,9,11,14,4,5,3
Data Science,Punjab,Rural,High,4,80,3,6,20,0,0,4,1
Skilled Trades,Karnataka,Rural,Low,0,0,0,13,6,22,5,4,1
Creative Arts,Rajasthan,Urban,High,0,5000,0,0,0,2,1,1,1
Data Science,Delhi,Semi-Urban,Medium,2,119,4,7,19,0,3,1,3
Data Science,Karnataka,Semi-Urban,Medium,3,120,7,6,20,0,2,2,4
Data Science,Maharashtra,Urban,Medium,6,88,4,8,19,0,1,4,1
Data Science,Rajasthan,Urban,High,5,90,2,6,23,0,2,0,2
Business,Rajasthan,Rural,High,0,0,2,8,7,0,4,4,2
Creative Arts,Uttar Pradesh,Rural,Low,2,0,0,13,17,7,5,1,1
Creative Arts,Karnataka,Urban,High,0,0,0,13,5,7,2,3,2
Social & Community Work,Karnataka,Semi-Urban,Medium,0,0,0,11,5,12,3,1,3
Business,Odisha,Urban,High,0,0,0,7,10,0,4,0,1
Business,Kerala,Urban,Medium,0,0,0,4,7,2,2,2,0
Business,West Bengal,Urban,High,0,0,3,7,13,0,4,4,0
Data Science,Karnataka,Urban,High,3,92,1,7,18,0,3,3,0
Business,Odisha,Semi-Urban,Medium,0,0,0,7,11,1,7,0,2
Technology,Kerala,Semi-Urban,Medium,7,165,2,5,11,0,3,1,5
Business,Other,Rural,Medium,0,0,1,11,3,1,1,4,3
Data Science,Telangana,Rural,Medium,4,108,5,10,18,0,1,3,2
Social & Community Work,West Bengal,Rural,Low,0,0,0,8,8,20,0,6,1
Data Science,Bihar,Urban,High,6,89,5,4,16,0,0,6,4
Technology,Other,Semi-Urban,Medium,10,145,1,4,10,2,0,3,2
Social & Community Work,Delhi,Urban,Medium,0,0,0,8,6,15,5,1,3
Business,Delhi,Urban,High,0,0,0,11,10,4,6,0,3
Data Science,West Bengal,Urban,High,10,5000,2,0,0,0,3,3,0
Technology,Maharashtra,Urban,High,10,136,1,7,10,2,1,5,3
Data Science,Uttar Pradesh,Rural,Medium,7,113,2,6,32,0,4,4,1
Skilled Trades,Maharashtra,Urban,High,0,0,0,16,1,24,2,3,1
Business,West Bengal,Rural,Medium,0,0,1,8,7,2,4,4,4
Data Science,Gujarat,Rural,Low,4,105,2,7,26,0,1,1,3
Creative Arts,Rajasthan,Urban,Low,0,0,0,8,12,6,3,1,0
Data Science,Odisha,Urban,High,4,107,1,6,14,0,5,2,3
Social & Community Work,Kerala,Rural,Low,0,0,0,9,10,16,1,4,2
Creative Arts,Tamil Nadu,Rural,Low,2,0,0,13,0,4,1,0,2
Data Science,Punjab,Rural,Low,2,112,4,9,14,0,2,3,2
Social & Community Work,Gujarat,Urban,High,0,0,0,12,3,13,2,5,2
Business,Other,Urban,High,0,0,0,4,9,2,2,3,1
Data Science,Odisha,Urban,High,9,91,1,3,17,0,0,4,5
Skilled Trades,Other,Urban,High,0,0,0,12,1,26,3,3,3
Business,Rajasthan,Rural,Low,0,0,3,15,8,1,3,3,1
Creative Arts,Maharashtra,Urban,High,5,0,0,16,8,6,1,4,2
Skilled Trades,Odisha,Semi-Urban,Medium,0,0,0,23,5,18,5,4,1
Data Science,Gujarat,Urban,High,4,107,6,11,23,0,0,2,1
Creative Arts,Tamil Nadu,Urban,High,3,0,0,11,14,4,1,6,3
Data Science,Maharashtra,Semi-Urban,Medium,4,109,3,5,22,0,2,2,2
Data Science,Bihar,Semi-Urban,Medium,4,95,2,4,15,0,2,3,3
Creative Arts,Gujarat,Semi-Urban,Low,3,0,0,14,9,3,0,3,1
Skilled Trades,Karnataka,Urban,High,0,0,0,15,4,16,1,3,5
Social & Community Work,Delhi,Semi-Urban,Medium,0,0,0,7,12,15,4,1,2
Social & Community Work,Telangana,Urban,High,0,0,0,11,15,10,3,5,1
Business,Odisha,Semi-Urban,Low,0,0,3,7,8,2,3,2,1
Skilled Trades,Odisha,Semi-Urban,High,0,0,0,15,5,18,0,1,6
Social & Community Work,Other,Urban,High,0,0,0,8,9,16,0,1,2
Skilled Trades,Karnataka,Semi-Urban,Low,0,0,0,19,5,19,1,2,3
Technology,Karnataka,Urban,High,7,147,5,4,15,1,0,3,0
Creative Arts,Other,Urban,High,0,0,0,13,13,7,1,3,3
Data Science,Delhi,Rural,Low,5,101,3,7,20,0,6,6,2
Social & Community Work,Uttar Pradesh,Rural,Medium,0,0,0,9,6,11,2,1,1
Data Science,Uttar Pradesh,Semi-Urban,High,3,90,5,4,21,0,1,5,0
Skilled Trades,Kerala,Semi-Urban,Low,0,0,0,15,3,22,4,4,2
Technology,Maharashtra,Rural,Low,9,145,2,3,5,0,0,2,1
Skilled Trades,Maharashtra,Semi-Urban,High,0,0,0,16,3,16,2,4,2
Creative Arts,Telangana,Semi-Urban,High,1,0,0,18,12,8,5,4,2
Creative Arts,Kerala,Urban,High,0,0,0,8,15,3,0,1,3
Creative Arts,Kerala,Urban,High,3,0,0,4,9,5,5,0,2
Creative Arts,Bihar,Semi-Urban,High,0,0,0,10,15,3,3,5,2
Business,Tamil Nadu,Semi-Urban,Low,0,0,0,10,7,2,2,2,1
Business,Bihar,Urban,High,0,0,1,10,3,2,0,4,3
Data Science,Delhi,Rural,Low,5,99,0,7,14,0,2,2,5
Business,Odisha,Urban,High,0,0,3,8,12,2,3,2,1
Business,Uttar Pradesh,Rural,Medium,0,0,0,7,8,2,1,1,2
Data Science,Odisha,Rural,Medium,6,94,2,5,23,0,0,0,3
Social & Community Work,Delhi,Rural,Low,0,0,0,16,11,10,2,5,0
Data Science,Madhya Pradesh,Urban,High,3,85,3,7,20,0,1,3,2
Skilled Trades,Maharashtra,Urban,High,0,0,0,11,6,14,4,0,1
Skilled Trades,Kerala,Semi-Urban,Medium,0,0,0,11,5,23,2,6,3
Social & Community Work,Madhya Pradesh,Urban,High,0,0,0,9,10,22,2,5,0
Social & Community Work,Kerala,Semi-Urban,Low,0,0,0,7,12,16,2,3,4
Social & Community Work,Other,Urban,High,0,0,0,6,6,12,2,1,1
Social & Community Work,Tamil Nadu,Rural,High,0,0,0,9,13,18,1,1,4
Social & Community Work,Odisha,Urban,High,0,0,0,9,14,11,2,3,0
Skilled Trades,Karnataka,Rural,Medium,0,0,0,11,6,20,4,5,0
Data Science,Delhi,Rural,Medium,7,92,0,2,15,0,0,3,2
Business,Bihar,Rural,High,0,0,1,5,5,6,7,10,1
Business,Rajasthan,Semi-Urban,Medium,0,0,1,8,9,1,3,3,2
Skilled Trades,Kerala,Rural,Low,0,0,0,17,4,19,2,6,1
Creative Arts,Bihar,Urban,Medium,1,0,0,12,5,1,1,7,5
Social & Community Work,Madhya Pradesh,Urban,High,0,0,0,9,5,18,6,1,4
Social & Community Work,Delhi,Rural,Low,0,0,0,17,5,14,6,1,0
Creative Arts,Tamil Nadu,Urban,High,1,0,0,12,6,5,0,5,5
Social & Community Work,Gujarat,Rural,Medium,0,0,0,6,5,20,1,2,2
Business,Telangana,Semi-Urban,Medium,0,0,1,4,8,2,1,4,3
Business,Madhya Pradesh,Rural,Low,0,0,0,9,12,2,1,6,5
Skilled Trades,West Bengal,Urban,Low,0,0,0,16,4,19,0,3,6
Business,Punjab,Urban,High,0,0,0,4,7,2,6,1,2
Social & Community Work,Karnataka,Rural,High,0,5000,0,0,0,12,0,3,1
Social & Community Work,Maharashtra,Urban,High,0,0,0,10,10,14,2,4,3
Creative Arts,Punjab,Urban,High,1,0,0,8,9,11,3,11,4
Skilled Trades,Other,Rural,Low,0,0,0,18,8,22,2,3,0
Skilled Trades,Rajasthan,Rural,Low,0,0,0,11,5,17,3,3,4
Technology,Maharashtra,Urban,High,8,148,1,3,16,1,3,2,2
Social & Community Work,Tamil Nadu,Rural,Low,0,0,0,6,4,13,4,1,2
Creative Arts,Gujarat,Rural,Medium,1,0,0,11,19,5,3,4,5
Data Science,Maharashtra,Rural,Low,7,87,2,5,20,0,1,2,4
Creative Arts,Karnataka,Urban,High,1,0,0,13,16,6,3,5,1
Social & Community Work,Tamil Nadu,Semi-Urban,Medium,0,0,0,10,9,13,5,3,5
Skilled Trades,Madhya Pradesh,Semi-Urban,Medium,0,0,0,15,5,19,3,5,3
Skilled Trades,Tamil Nadu,Semi-Urban,Medium,0,0,0,11,5,22,6,7,3
Social & Community Work,Other,Semi-Urban,Low,0,0,0,6,5,13,6,1,1
Data Science,Other,Urban,High,5,92,3,3,17,0,0,3,1
Skilled Trades,Other,Urban,High,0,0,0,17,6,22,4,2,3
Skilled Trades,Karnataka,Semi-Urban,Medium,0,0,0,16,4,13,2,2,3
Creative Arts,Uttar Pradesh,Semi-Urban,High,0,0,0,9,14,7,2,5,2
Business,Telangana,Urban,High,0,0,2,8,5,2,5,1,2
Skilled Trades,Madhya Pradesh,Urban,High,0,0,0,17,2,33,0,2,4
Social & Community Work,West Bengal,Semi-Urban,Low,0,0,0,9,10,12,5,4,1
Business,Uttar Pradesh,Rural,Medium,0,0,3,10,5,0,4,3,1
Business,Bihar,Urban,High,0,0,2,8,10,3,2,3,1
Social & Community Work,Maharashtra,Semi-Urban,High,0,0,0,11,7,7,0,0,1
Creative Arts,Punjab,Semi-Urban,Medium,0,0,0,14,8,5,1,4,2
Technology,Maharashtra,Semi-Urban,High,12,143,2,6,7,0,2,4,2
Social & Community Work,Maharashtra,Semi-Urban,Low,0,0,0,10,2,19,2,0,2
Skilled Trades,Uttar Pradesh,Rural,Low,0,0,0,13,4,23,3,2,0
Business,Maharashtra,Urban,High,0,0,0,5,11,6,0,4,2
Data Science,Bihar,Semi-Urban,High,5,87,4,7,23,0,1,1,1
Business,Bihar,Semi-Urban,Medium,0,0,0,4,10,1,3,2,3
Technology,Gujarat,Urban,High,7,149,1,3,18,0,1,3,2
Skilled Trades,Uttar Pradesh,Urban,High,0,0,0,19,5,22,0,4,2
Technology,Tamil Nadu,Urban,High,3,158,0,6,17,0,4,3,4
Skilled Trades,Karnataka,Urban,High,0,0,0,12,2,21,2,4,1
Business,Karnataka,Semi-Urban,Medium,0,0,1,9,7,3,0,2,5
Business,Madhya Pradesh,Semi-Urban,Medium,0,0,1,6,13,2,0,3,3
Technology,Rajasthan,Urban,High,6,140,1,5,12,2,1,2,2
Business,Bihar,Rural,Low,0,0,1,8,7,3,1,4,4
Business,Other,Semi-Urban,Medium,0,0,0,9,12,3,0,3,3
Business,Tamil Nadu,Semi-Urban,Low,0,0,1,8,12,1,0,2,1
Business,Delhi,Semi-Urban,High,0,0,0,5,8,0,0,2,3
Skilled Trades,West Bengal,Semi-Urban,Low,0,0,0,18,6,22,2,1,2
Technology,Delhi,Rural,Low,5,149,1,6,13,1,4,0,2
Creative Arts,Punjab,Semi-Urban,Medium,1,0,0,12,15,2,4,6,3
Creative Arts,Rajasthan,Rural,Low,0,0,0,11,17,7,2,0,4
Creative Arts,Punjab,Semi-Urban,Medium,2,0,0,7,14,10,2,2,1
Technology,Punjab,Rural,Medium,8,139,0,7,14,2,4,4,4
Technology,Odisha,Urban,High,12,153,1,4,2,0,3,1,0
Technology,Telangana,Rural,High,8,155,3,5,13,1,2,1,4
Data Science,Bihar,Urban,Low,6,84,2,4,20,0,5,3,0
Social & Community Work,Other,Rural,Medium,0,0,0,6,4,18,6,4,1
Creative Arts,Odisha,Semi-Urban,Low,2,0,0,7,16,1,2,7,0
Social & Community Work,Telangana,Urban,High,0,0,0,6,6,22,2,3,3
Business,Rajasthan,Rural,Medium,0,0,0,11,11,0,4,5,2
Data Science,Odisha,Rural,Medium,3,118,4,6,21,0,1,4,1
Skilled Trades,Rajasthan,Urban,High,0,0,0,20,7,18,1,3,1
Technology,Gujarat,Urban,Medium,8,137,2,11,10,1,3,4,5
Creative Arts,Gujarat,Semi-Urban,High,3,0,0,13,17,4,2,0,1
Creative Arts,Other,Urban,High,0,0,0,7,10,5,3,6,4
Data Science,Rajasthan,Urban,High,9,5000,1,0,0,0,1,1,1
Business,Bihar,Semi-Urban,High,0,0,0,7,12,1,1,4,1
Technology,Rajasthan,Rural,High,7,162,2,3,10,0,5,2,3
Skilled Trades,Gujarat,Semi-Urban,Medium,0,0,0,14,1,24,0,4,1
Data Science,Tamil Nadu,Urban,High,4,105,3,10,16,0,4,3,3
Business,Maharashtra,Urban,High,0,0,0,15,5,3,4,6,2
Creative Arts,Madhya Pradesh,Semi-Urban,Low,0,0,0,10,13,4,2,3,3
Data Science,Odisha,Semi-Urban,High,3,111,7,5,14,0,1,3,4
Technology,Punjab,Rural,Medium,4,160,4,3,6,1,1,2,3
Technology,Telangana,Rural,Low,8,169,1,5,14,0,4,2,6
Creative Arts,Bihar,Urban,High,1,0,0,10,12,3,4,1,1
Data Science,Kerala,Urban,High,7,105,4,4,25,0,0,4,1
Creative Arts,Uttar Pradesh,Rural,Low,0,0,0,17,11,9,1,2,1
Social & Community Work,Rajasthan,Rural,Low,0,0,0,5,12,17,3,2,0
Technology,West Bengal,Urban,Low,7,138,1,5,13,3,2,5,6
Social & Community Work,Karnataka,Urban,High,0,0,0,7,11,15,3,5,1
Technology,Maharashtra,Urban,Medium,8,141,3,4,14,0,6,3,4
Data Science,Gujarat,Rural,Low,4,96,1,4,14,0,1,1,2
Technology,Bihar,Semi-Urban,Low,7,165,4,4,20,1,4,2,3
Data Science,Punjab,Rural,Low,6,100,2,8,17,0,1,4,5
Business,Gujarat,Semi-Urban,High,0,0,3,7,13,2,0,5,2
Social & Community Work,Maharashtra,Urban,High,0,0,0,5,10,12,0,4,6
Creative Arts,Madhya Pradesh,Urban,High,1,0,0,11,12,10,3,5,1
Data Science,Other,Rural,Low,5,84,1,10,18,0,3,1,3
Business,Maharashtra,Rural,Low,0,0,0,11,12,2,5,4,1
Creative Arts,Madhya Pradesh,Rural,Low,0,0,0,6,16,6,4,3,1
Technology,Telangana,Rural,Low,6,148,0,4,13,0,1,0,3
Data Science,Uttar Pradesh,Rural,High,3,104,0,10,15,0,3,1,0
Data Science,West Bengal,Semi-Urban,Medium,5,91,4,7,15,0,4,4,3
Creative Arts,Gujarat,Semi-Urban,Medium,1,0,0,20,1,9,4,5,2
Business,Other,Urban,High,0,0,0,9,8,2,0,1,2
Social & Community Work,Madhya Pradesh,Rural,High,0,0,0,9,3,16,2,1,2
Social & Community Work,Kerala,Semi-Urban,Medium,0,0,0,14,5,16,0,2,4
Social & Community Work,Tamil Nadu,Rural,Low,0,0,0,8,5,11,1,3,4
Creative Arts,Tamil Nadu,Rural,Low,3,0,0,8,2,3,3,0,0
Social & Community Work,Maharashtra,Semi-Urban,Medium,0,0,0,13,7,18,1,4,2
Technology,Karnataka,Urban,High,6,165,3,4,10,1,1,3,0
Creative Arts,Uttar Pradesh,Rural,Medium,0,0,0,14,19,6,0,1,5
Data Science,Maharashtra,Urban,High,6,99,2,7,17,0,0,2,2
Social & Community Work,Gujarat,Urban,High,0,0,0,11,6,15,9,3,1
Creative Arts,Odisha,Semi-Urban,High,1,5000,0,0,0,3,2,2,4
Skilled Trades,Rajasthan,Semi-Urban,Medium,0,0,0,17,7,21,3,2,6
Business,West Bengal,Urban,Medium,0,0,2,9,13,3,0,7,3
Skilled Trades,Maharashtra,Semi-Urban,Medium,0,0,0,20,3,18,0,6,1
Social & Community Work,Gujarat,Rural,Low,0,0,0,10,3,17,1,2,2
Business,Karnataka,Semi-Urban,Medium,0,0,2,8,11,1,2,0,2
Skilled Trades,Rajasthan,Semi-Urban,Medium,0,0,0,12,7,22,5,5,1
Creative Arts,Gujarat,Urban,High,0,0,0,9,14,5,2,1,3
Data Science,Madhya Pradesh,Semi-Urban,High,6,105,2,2,24,0,4,4,1
Social & Community Work,Bihar,Rural,Medium,0,0,0,8,6,18,1,5,2
Technology,Telangana,Semi-Urban,High,6,154,0,6,18,1,1,6,1
Business,Delhi,Rural,Medium,0,0,0,6,8,3,2,3,3
Skilled Trades,Odisha,Urban,High,0,0,0,19,5,19,2,5,1
Technology,Maharashtra,Semi-Urban,Medium,6,153,3,8,21,0,2,3,0
Creative Arts,Telangana,Semi-Urban,High,3,0,0,11,8,4,3,5,6
Data Science,Odisha,Semi-Urban,Medium,6,110,2,6,25,0,5,2,1
Data Science,Odisha,Semi-Urban,High,6,101,3,10,17,0,3,4,5
Social & Community Work,Tamil Nadu,Rural,Medium,0,5000,0,0,0,20,4,2,3
Creative Arts,Karnataka,Urban,High,1,0,0,14,10,7,5,3,6
Data Science,West Bengal,Rural,Low,3,116,4,11,18,0,0,5,1
Data Science,Punjab,Rural,Medium,2,106,1,5,30,0,4,1,0
Business,Karnataka,Urban,High,0,0,1,9,5,3,1,0,2
Technology,Other,Rural,Low,5,5000,3,0,0,0,2,1,3
Data Science,Bihar,Urban,High,2,88,5,9,17,0,3,2,2
Skilled Trades,Maharashtra,Rural,High,0,0,0,8,2,19,0,2,3
Creative Arts,Delhi,Urban,Medium,0,0,0,14,17,4,0,4,2
Creative Arts,Tamil Nadu,Rural,Low,1,0,0,12,15,2,1,0,1
Data Science,Delhi,Semi-Urban,High,8,106,3,11,22,0,2,2,1
Social & Community Work,Uttar Pradesh,Urban,High,0,0,0,4,6,9,4,2,1
Skilled Trades,Telangana,Rural,Low,0,0,0,10,3,20,0,4,0
Skilled Trades,Tamil Nadu,Rural,Low,0,0,0,6,5,23,1,5,3
Business,Odisha,Semi-Urban,Medium,0,0,1,9,7,4,6,2,4
Social & Community Work,Telangana,Urban,High,0,0,0,10,6,7,2,1,1
Business,Telangana,Urban,Medium,0,0,1,5,7,2,4,6,1
Business,Delhi,Semi-Urban,Medium,0,0,1,6,6,1,5,2,3
Technology,Gujarat,Urban,Low,5,143,5,8,17,0,0,1,1
Data Science,Odisha,Rural,Medium,4,108,7,4,10,0,1,4,4
Business,Maharashtra,Semi-Urban,Medium,0,0,2,5,11,1,1,3,2
Social & Community Work,Gujarat,Urban,High,0,0,0,16,4,9,5,1,0
Creative Arts,Bihar,Rural,High,0,0,0,7,12,2,1,3,1
Data Science,Madhya Pradesh,Urban,High,8,96,4,6,23,0,8,6,1
Technology,Tamil Nadu,Urban,High,5,156,2,0,14,1,4,1,1
Technology,Telangana,Urban,High,6,151,2,4,13,0,3,1,3
Business,Uttar Pradesh,Semi-Urban,Medium,0,0,1,10,9,0,5,4,1
Technology,Telangana,Urban,High,7,5000,3,0,0,0,2,5,3
Skilled Trades,Maharashtra,Semi-Urban,Medium,0,0,0,20,5,24,6,0,1
Business,Delhi,Urban,High,0,0,0,8,4,3,2,2,0
Business,Odisha,Urban,High,0,0,1,6,10,2,0,1,2
Social & Community Work,Telangana,Semi-Urban,Low,0,0,0,17,4,25,2,5,1
Technology,Telangana,Semi-Urban,Medium,4,143,0,2,14,0,4,4,2
Business,Uttar Pradesh,Semi-Urban,Medium,0,0,0,7,11,6,2,5,2
Technology,Other,Rural,High,11,163,2,3,18,0,3,5,5
Business,Karnataka,Urban,High,0,0,1,5,11,1,4,4,1
Technology,Madhya Pradesh,Rural,Low,5,176,0,7,12,2,3,1,2
Skilled Trades,Maharashtra,Urban,High,0,0,0,11,6,18,1,4,1
Creative Arts,Maharashtra,Rural,High,1,0,0,14,11,12,3,5,1
Skilled Trades,Odisha,Urban,High,0,0,0,6,7,25,5,1,1
Skilled Trades,Gujarat,Semi-Urban,High,0,0,0,17,1,13,6,1,5
Social & Community Work,Other,Semi-Urban,High,0,0,0,8,7,18,2,2,2
Business,West Bengal,Semi-Urban,High,0,0,2,10,9,0,5,4,1
Creative Arts,Bihar,Rural,Medium,1,0,0,11,14,6,1,2,1
Data Science,Odisha,Semi-Urban,High,4,105,4,7,18,0,3,4,0
Technology,Maharashtra,Semi-Urban,High,5,159,2,2,16,0,3,4,3
Data Science,Bihar,Semi-Urban,Medium,8,92,1,6,18,0,4,3,5
Business,Odisha,Semi-Urban,High,0,0,0,9,10,2,0,9,3
Data Science,Gujarat,Urban,High,4,105,2,7,14,0,2,6,3
Creative Arts,Maharashtra,Semi-Urban,Low,3,0,0,9,17,8,5,3,1
Social & Community Work,Rajasthan,Rural,High,0,0,0,11,5,21,2,2,1
Social & Community Work,Gujarat,Rural,Low,0,0,0,8,7,16,2,2,2
Data Science,Telangana,Semi-Urban,High,8,93,2,6,13,0,8,7,6
Data Science,Odisha,Rural,Low,3,92,1,12,23,0,6,4,8
Data Science,Delhi,Rural,High,4,101,1,7,14,0,5,3,3
Creative Arts,Bihar,Rural,Low,1,0,0,18,4,4,0,3,2
Social & Community Work,Karnataka,Urban,High,0,0,0,9,10,15,1,5,5
Creative Arts,Maharashtra,Semi-Urban,Medium,1,0,0,15,7,4,2,5,1
Business,Telangana,Urban,High,0,0,1,6,4,3,2,2,0
Creative Arts,Gujarat,Urban,Medium,2,0,0,7,14,3,0,5,2
Data Science,Madhya Pradesh,Urban,High,6,100,3,3,19,0,3,3,2
Business,Other,Urban,High,0,0,1,8,7,2,5,2,3
Technology,Maharashtra,Urban,High,5,138,1,7,12,1,3,3,0
Skilled Trades,Gujarat,Urban,Medium,0,0,0,14,2,23,2,3,2
Business,Uttar Pradesh,Rural,Low,0,0,3,6,10,1,0,2,2
Skilled Trades,West Bengal,Urban,High,0,0,0,18,4,14,5,1,4
Data Science,Odisha,Urban,High,3,100,4,6,21,0,0,4,3
Data Science,Odisha,Urban,High,3,82,1,3,18,0,5,3,0
Creative Arts,Rajasthan,Semi-Urban,Medium,4,0,0,8,8,7,0,7,4
Technology,Other,Urban,High,6,170,2,8,12,4,2,2,1
Business,Bihar,Rural,High,0,0,1,12,8,2,2,2,1
Business,Delhi,Semi-Urban,Medium,0,0,4,7,3,6,2,3,1
Skilled Trades,Madhya Pradesh,Rural,Medium,0,0,0,18,3,27,4,1,1
Data Science,Telangana,Urban,High,7,91,2,1,14,0,0,3,3
Data Science,Madhya Pradesh,Rural,Medium,8,100,2,6,22,0,3,2,2
Social & Community Work,Tamil Nadu,Rural,Low,0,0,0,8,6,15,2,2,1
Data Science,West Bengal,Semi-Urban,Medium,7,92,4,10,25,0,3,3,1
Technology,Punjab,Rural,Medium,10,137,7,5,14,1,4,2,3
Creative Arts,Punjab,Semi-Urban,Medium,3,0,0,11,10,4,0,4,5
Technology,Kerala,Semi-Urban,High,6,141,2,1,15,0,1,3,1
Data Science,Kerala,Semi-Urban,Medium,7,108,1,5,9,0,3,4,3
